"munic";"maes_chefes_91";"maes_chefes_00";"maes_chefes_10";"mortalidade_91";"mortalidade_00";"mortalidade_10";"uf"
"Anísio de Abreu ";13,71;8,73;24,61;56,84;41,11;24,6;"PI"
"Anita Garibaldi ";9,18;9,75;10,8;32,55;30,7;14,2;"SC"
"Anitápolis ";3,07;6,12;35,99;27,05;23,5;13,3;"SC"
"Anori ";10,72;27,29;21,64;60,44;45,3;24,3;"AM"
"Anta Gorda ";4,88;4,6;3,52;21,21;19,5;10,1;"RS"
"Antas ";16,79;14,18;18,09;68,86;53,37;29,4;"BA"
"Antonina do Norte ";17,67;15,86;35,05;76,42;45,92;22,7;"CE"
"Antonina ";12,58;11,47;28,31;32,99;20,69;12,3;"PR"
"Antônio Almeida ";10,45;20,72;16,83;70,96;42,58;22,5;"PI"
"Antônio Cardoso ";13,06;14,48;23,6;58,87;36,81;24,3;"BA"
"Antônio Carlos ";11,32;9,98;17,25;30,4;25,92;14,9;"MG"
"Antônio Carlos ";2,71;2,78;10,63;18,23;14,8;9,3;"SC"
"Antônio Dias ";12,98;19,01;26,22;36,38;25,8;13,9;"MG"
"Antônio Gonçalves ";12,42;14,46;31,16;91,36;51,06;29,1;"BA"
"Antônio João ";25,08;29,27;43,59;40,94;35,02;21,6;"MS"
"Antônio Martins ";10,33;11,64;22,93;67,49;39,68;24,9;"RN"
"Antônio Olinto ";10,33;7,79;20,45;41,51;28,6;13,4;"PR"
"Antônio Prado de Minas ";5,98;6,39;9,32;40,27;30,68;15,6;"MG"
"Antônio Prado ";3,4;8,31;10,12;23,13;20,5;13,5;"RS"
"Aparecida de Goiânia ";16,8;16,96;15,52;30,2;23,51;13,2;"GO"
"Aparecida D'Oeste ";5,78;2,96;7,7;26,83;21,8;17,6;"SP"
"Aparecida do Rio Doce ";2,39;11,08;25,8;25,58;22,3;14,8;"GO"
"Aparecida do Rio Negro ";21,16;12,63;35,5;56,25;45,35;19,8;"TO"
"Aparecida do Taboado ";9,12;19,36;15,97;31,45;24,89;21;"MS"
"Aparecida ";2,97;4,51;23,02;58,88;47,4;28;"PB"
"Aparecida ";10,51;11,71;15,23;27,72;18,2;15,2;"SP"
"Aperibé ";8,48;11,18;8,39;28,59;19,43;18,4;"RJ"
"Apiacá ";8,68;14,52;24,81;34,03;26,18;13,5;"ES"
"Apiacás ";18,62;15,21;18,26;35,11;32,94;17,7;"MT"
"Apiaí ";19,75;20,58;28,91;35,39;21,3;14,6;"SP"
